Accuracy,Brier,ECE,FPR,FNR,Cost,Time,violations,viol_rate,viol_severity_mean,viol_severity_cond,viol_severity_max,SolverStatus,Objective,BestBound,RelativeGap,SolverWallTime,Dataset,Seed,Method,BudgetSec
0.3,0.7,0.7,0.0,1.0,2.0,1.1752607822418213,0,0.0,0.0,0.0,0.0,UNKNOWN,,,,0.619383,german_real,42,ODT,1.0
0.3,0.7,0.7,0.0,1.0,2.0,1.5688750743865967,0,0.0,0.0,0.0,0.0,UNKNOWN,,,,1.0213450000000002,german_real,42,EMDT,1.0
0.53,0.47,0.47,0.5666666666666667,0.42857142857142855,3.6904761904761902,3.529528856277466,1034,0.517,0.517,1.0,1.0,FEASIBLE,174.0,8.0,0.9540229885057471,3.0044534,german_real,42,ODT,3.0
0.7,0.3,0.30000000000000004,1.0,0.0,5.0,3.6209559440612793,0,0.0,0.0,0.0,0.0,FEASIBLE,121.0,7.0,0.9421487603305785,3.0012273,german_real,42,EMDT,3.0
0.67,0.33,0.32999999999999996,0.9,0.08571428571428572,4.671428571428572,5.486078977584839,544,0.272,0.272,1.0,1.0,FEASIBLE,105.0,8.0,0.9238095238095239,5.003453400000001,german_real,42,ODT,5.0
0.69,0.31,0.31,0.8333333333333334,0.08571428571428572,4.338095238095239,5.434930086135864,0,0.0,0.0,0.0,0.0,FEASIBLE,111.0,7.0,0.9369369369369369,5.0018947,german_real,42,EMDT,5.0
0.67,0.33,0.32999999999999996,0.9,0.08571428571428572,4.671428571428572,10.519453048706055,544,0.272,0.272,1.0,1.0,FEASIBLE,105.0,9.0,0.9142857142857143,10.008586600000001,german_real,42,ODT,10.0
0.69,0.31,0.31,0.8333333333333334,0.08571428571428572,4.338095238095239,10.655810594558716,0,0.0,0.0,0.0,0.0,FEASIBLE,111.0,7.0,0.9369369369369369,10.0046637,german_real,42,EMDT,10.0
0.69,0.31,0.31,0.8333333333333334,0.08571428571428572,4.338095238095239,15.640964269638062,185,0.0925,0.0925,1.0,1.0,FEASIBLE,104.0,10.0,0.9038461538461539,15.0124866,german_real,42,ODT,15.0
0.69,0.31,0.31,0.8333333333333334,0.08571428571428572,4.338095238095239,15.62985372543335,0,0.0,0.0,0.0,0.0,FEASIBLE,111.0,7.0,0.9369369369369369,15.0103018,german_real,42,EMDT,15.0
0.3,0.7,0.7,0.0,1.0,2.0,1.6473147869110107,0,0.0,0.0,0.0,0.0,UNKNOWN,,,,1.0666101000000001,german_real,43,ODT,1.0
0.3,0.7,0.7,0.0,1.0,2.0,1.5277395248413086,0,0.0,0.0,0.0,0.0,UNKNOWN,,,,0.7945078000000001,german_real,43,EMDT,1.0
0.63,0.37,0.37,0.5,0.3142857142857143,3.1285714285714286,3.5028879642486572,1012,0.506,0.506,1.0,1.0,FEASIBLE,165.0,6.0,0.9636363636363636,3.0044989,german_real,43,ODT,3.0
0.57,0.43,0.43000000000000005,0.4,0.44285714285714284,2.8857142857142857,3.502392292022705,0,0.0,0.0,0.0,0.0,FEASIBLE,197.0,6.0,0.9695431472081218,2.9849279,german_real,43,EMDT,3.0
0.69,0.31,0.31,0.8,0.1,4.2,5.445535898208618,0,0.0,0.0,0.0,0.0,FEASIBLE,112.0,7.0,0.9375,5.002991000000001,german_real,43,ODT,5.0
0.7,0.3,0.3,0.8333333333333334,0.07142857142857142,4.30952380952381,5.754207611083984,0,0.0,0.0,0.0,0.0,FEASIBLE,109.0,7.0,0.9357798165137615,5.029873800000001,german_real,43,EMDT,5.0
0.7,0.3,0.3,0.8333333333333334,0.07142857142857142,4.30952380952381,10.634703636169434,0,0.0,0.0,0.0,0.0,FEASIBLE,108.0,7.0,0.9351851851851852,10.021274700000001,german_real,43,ODT,10.0
0.7,0.3,0.3,0.8333333333333334,0.07142857142857142,4.30952380952381,10.511780977249146,0,0.0,0.0,0.0,0.0,FEASIBLE,109.0,9.0,0.9174311926605505,10.010046800000001,german_real,43,EMDT,10.0
0.7,0.3,0.30000000000000004,0.7666666666666667,0.1,4.033333333333333,15.505606651306152,0,0.0,0.0,0.0,0.0,FEASIBLE,107.0,7.0,0.9345794392523364,15.011865,german_real,43,ODT,15.0
0.7,0.3,0.3,0.8333333333333334,0.07142857142857142,4.30952380952381,15.54616093635559,0,0.0,0.0,0.0,0.0,FEASIBLE,109.0,10.0,0.908256880733945,15.003669400000001,german_real,43,EMDT,15.0
0.3,0.7,0.7,0.0,1.0,2.0,1.015150547027588,0,0.0,0.0,0.0,0.0,UNKNOWN,,,,0.6025473,german_real,44,ODT,1.0
0.3,0.7,0.7,0.0,1.0,2.0,1.130843162536621,0,0.0,0.0,0.0,0.0,UNKNOWN,,,,0.6881747,german_real,44,EMDT,1.0
0.42,0.58,0.5800000000000001,0.16666666666666666,0.7571428571428571,2.3476190476190473,3.615626573562622,285,0.1425,0.1425,1.0,1.0,FEASIBLE,260.0,-2.0,1.0076923076923077,3.0254593,german_real,44,ODT,3.0
0.63,0.37,0.37,0.6666666666666666,0.24285714285714285,3.819047619047619,3.534259557723999,0,0.0,0.0,0.0,0.0,FEASIBLE,152.0,3.0,0.9802631578947368,3.0040430000000002,german_real,44,EMDT,3.0
0.7,0.3,0.3,0.9666666666666667,0.014285714285714285,4.8619047619047615,5.510689735412598,0,0.0,0.0,0.0,0.0,FEASIBLE,109.0,-1.0,1.0091743119266054,5.0041227,german_real,44,ODT,5.0
0.69,0.31,0.31000000000000005,0.9666666666666667,0.02857142857142857,4.89047619047619,5.546936273574829,0,0.0,0.0,0.0,0.0,FEASIBLE,111.0,3.0,0.972972972972973,5.002509300000001,german_real,44,EMDT,5.0
0.7,0.3,0.3,0.9666666666666667,0.014285714285714285,4.8619047619047615,10.588761568069458,0,0.0,0.0,0.0,0.0,FEASIBLE,109.0,0.0,1.0,10.004416500000001,german_real,44,ODT,10.0
0.69,0.31,0.31000000000000005,0.9666666666666667,0.02857142857142857,4.89047619047619,10.578603267669678,0,0.0,0.0,0.0,0.0,FEASIBLE,111.0,7.0,0.9369369369369369,10.0064036,german_real,44,EMDT,10.0
0.7,0.3,0.3,0.9666666666666667,0.014285714285714285,4.8619047619047615,15.523182392120361,0,0.0,0.0,0.0,0.0,FEASIBLE,109.0,1.0,0.9908256880733946,15.003966400000001,german_real,44,ODT,15.0
0.69,0.31,0.31000000000000005,0.9666666666666667,0.02857142857142857,4.89047619047619,15.514131546020508,0,0.0,0.0,0.0,0.0,FEASIBLE,111.0,7.0,0.9369369369369369,15.021439800000001,german_real,44,EMDT,15.0
0.3,0.7,0.7,0.0,1.0,2.0,1.2654240131378174,0,0.0,0.0,0.0,0.0,UNKNOWN,,,,0.6801735000000001,german_real,45,ODT,1.0
0.3,0.7,0.7,0.0,1.0,2.0,1.185032606124878,0,0.0,0.0,0.0,0.0,UNKNOWN,,,,0.6490831,german_real,45,EMDT,1.0
0.67,0.33,0.32999999999999996,0.8333333333333334,0.11428571428571428,4.395238095238096,3.5668246746063232,489,0.2445,0.2445,1.0,1.0,FEASIBLE,125.0,-7.0,1.056,3.0035545000000003,german_real,45,ODT,3.0
0.4,0.6,0.6,0.1,0.8142857142857143,2.1285714285714286,3.4331142902374268,0,0.0,0.0,0.0,0.0,FEASIBLE,236.0,-11.0,1.0466101694915255,3.007906,german_real,45,EMDT,3.0
0.69,0.31,0.30999999999999994,0.9,0.05714285714285714,4.614285714285714,5.631373405456543,240,0.12,0.12,1.0,1.0,FEASIBLE,114.0,-7.0,1.0614035087719298,5.0136498000000005,german_real,45,ODT,5.0
0.73,0.27,0.27,0.9,0.0,4.5,5.633548974990845,0,0.0,0.0,0.0,0.0,FEASIBLE,114.0,-11.0,1.0964912280701755,5.0014400000000006,german_real,45,EMDT,5.0
0.71,0.29,0.29000000000000004,0.8333333333333334,0.05714285714285714,4.280952380952381,10.708757877349854,0,0.0,0.0,0.0,0.0,FEASIBLE,111.0,-5.0,1.045045045045045,10.0041247,german_real,45,ODT,10.0
0.73,0.27,0.27,0.9,0.0,4.5,10.533268451690674,0,0.0,0.0,0.0,0.0,FEASIBLE,114.0,-11.0,1.0964912280701755,10.005311200000001,german_real,45,EMDT,10.0
0.7,0.3,0.30000000000000004,0.8666666666666667,0.05714285714285714,4.447619047619048,15.599258661270142,0,0.0,0.0,0.0,0.0,FEASIBLE,110.0,-5.0,1.0454545454545454,15.059195800000001,german_real,45,ODT,15.0
0.73,0.27,0.27,0.9,0.0,4.5,15.5384202003479,0,0.0,0.0,0.0,0.0,FEASIBLE,114.0,-9.0,1.0789473684210527,15.018876700000002,german_real,45,EMDT,15.0
0.3,0.7,0.7,0.0,1.0,2.0,1.4696776866912842,0,0.0,0.0,0.0,0.0,UNKNOWN,,,,1.0275283000000002,german_real,46,ODT,1.0
0.3,0.7,0.7,0.0,1.0,2.0,1.5446217060089111,0,0.0,0.0,0.0,0.0,UNKNOWN,,,,1.02705,german_real,46,EMDT,1.0
0.69,0.31,0.30999999999999994,1.0,0.014285714285714285,5.0285714285714285,3.453219175338745,1,0.0005,0.0005,1.0,1.0,FEASIBLE,119.0,-6.0,1.050420168067227,3.0026245,german_real,46,ODT,3.0
0.69,0.31,0.31000000000000005,0.9666666666666667,0.02857142857142857,4.89047619047619,3.536715269088745,0,0.0,0.0,0.0,0.0,FEASIBLE,119.0,-9.0,1.0756302521008403,3.0014095000000003,german_real,46,EMDT,3.0
0.66,0.34,0.33999999999999997,0.8666666666666667,0.11428571428571428,4.561904761904763,5.461435556411743,0,0.0,0.0,0.0,0.0,FEASIBLE,108.0,-6.0,1.0555555555555556,5.002543500000001,german_real,46,ODT,5.0
0.69,0.31,0.31000000000000005,0.9666666666666667,0.02857142857142857,4.89047619047619,5.533403158187866,0,0.0,0.0,0.0,0.0,FEASIBLE,119.0,-9.0,1.0756302521008403,5.0024486,german_real,46,EMDT,5.0
0.67,0.33,0.32999999999999996,0.8,0.12857142857142856,4.257142857142857,10.486967325210571,0,0.0,0.0,0.0,0.0,FEASIBLE,106.0,-4.0,1.0377358490566038,10.011086,german_real,46,ODT,10.0
