Accuracy,Brier,ECE,FPR,FNR,Cost,Time,violations,viol_rate,viol_severity_mean,viol_severity_cond,viol_severity_max,SolverStatus,Objective,BestBound,RelativeGap,SolverWallTime,Dataset,Seed,Method
0.66,0.2086113150111907,0.04948779472208267,0.5111111111111111,0.2,2.9555555555555553,0.0006895065307617188,127,0.0635,0.02052419597051206,0.3232156845749929,0.35476718403547675,NA,,,,,compas_real,42,CART
0.63,0.37,0.37,0.6444444444444445,0.14545454545454545,3.5131313131313133,1.7473318576812744,0,0.0,0.0,0.0,0.0,OPTIMAL,128.0,128.0,0.0,1.4479708,compas_real,42,ODT
0.64,0.36,0.36000000000000004,0.6444444444444445,0.12727272727272726,3.4767676767676767,2.1792514324188232,0,0.0,0.0,0.0,0.0,OPTIMAL,131.0,131.0,0.0,1.7497937000000001,compas_real,42,EMDT
0.64,0.2303504503872116,0.02925750053960703,0.6444444444444445,0.12727272727272726,3.4767676767676767,2.187126398086548,0,0.0,0.0,0.0,0.0,OPTIMAL,131.0,131.0,0.0,1.7353047000000001,compas_real,42,EMDT-Iso
0.65,0.21359050358935142,0.0907722901969383,0.6,0.14545454545454545,3.290909090909091,0.25861167907714844,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,42,MonoRF
0.64,0.20895653953147483,0.086673784814775,0.5111111111111111,0.23636363636363636,3.028282828282828,0.15991520881652832,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,42,XGB-Mono
0.64,0.20610925768835375,0.09001553540692439,0.5111111111111111,0.23636363636363636,3.028282828282828,0.01097726821899414,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,42,LGBM-Mono
0.64,0.20938606776818564,0.10141781080495242,0.6444444444444445,0.12727272727272726,3.4767676767676767,0.012749195098876953,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,42,MonoScore
0.63,0.210231762616953,0.0903024200350046,0.5111111111111111,0.2545454545454545,3.064646464646464,0.08416748046875,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,42,XGB-Mono-Best
0.63,0.20778592647698765,0.095348540326016,0.4888888888888889,0.2727272727272727,2.9898989898989896,0.03118300437927246,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,42,LGBM-Mono-Best
0.64,0.21398318648886522,0.07838162606047624,0.4666666666666667,0.2727272727272727,2.878787878787879,0.0009052753448486328,15,0.0075,9.83899821109127e-05,0.013118664281455028,0.013118664281455028,NA,,,,,compas_real,43,CART
0.66,0.34,0.34,0.4888888888888889,0.21818181818181817,2.8808080808080807,2.3157832622528076,263,0.1315,0.1315,1.0,1.0,OPTIMAL,128.0,128.0,0.0,1.8488844000000002,compas_real,43,ODT
0.64,0.36,0.36,0.4888888888888889,0.2545454545454545,2.9535353535353535,2.4539601802825928,0,0.0,0.0,0.0,0.0,OPTIMAL,134.0,134.0,0.0,2.0493755,compas_real,43,EMDT
0.64,0.23099241384635044,0.02703429101019453,0.4888888888888889,0.2545454545454545,2.9535353535353535,2.33998441696167,0,0.0,0.0,0.0,0.0,OPTIMAL,134.0,134.0,0.0,1.8978596,compas_real,43,EMDT-Iso
0.69,0.22415605749021508,0.08912001629855662,0.5555555555555556,0.10909090909090909,2.995959595959596,0.2771186828613281,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,43,MonoRF
0.64,0.22123669938224524,0.11579041566699744,0.5333333333333333,0.21818181818181817,3.103030303030303,0.04442119598388672,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,43,XGB-Mono
0.64,0.21696841384705132,0.07484567221733551,0.5111111111111111,0.23636363636363636,3.028282828282828,0.016397953033447266,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,43,LGBM-Mono
0.68,0.22298015007503239,0.11214455610234189,0.5111111111111111,0.16363636363636364,2.8828282828282825,0.011336088180541992,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,43,MonoScore
0.63,0.21975496702509734,0.13551205024123192,0.5111111111111111,0.2545454545454545,3.064646464646464,0.087738037109375,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,43,XGB-Mono-Best
0.64,0.22012912144689384,0.10271025548286082,0.5111111111111111,0.23636363636363636,3.028282828282828,0.02999401092529297,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,43,LGBM-Mono-Best
0.63,0.23779449262286875,0.10439606929007256,0.6444444444444445,0.14545454545454545,3.5131313131313133,0.0008914470672607422,19,0.0095,0.00039811721834193744,0.04190707561494078,0.04190707561494078,NA,,,,,compas_real,44,CART
0.55,0.45,0.44999999999999996,0.6222222222222222,0.3090909090909091,3.7292929292929293,2.342726707458496,132,0.066,0.066,1.0,1.0,OPTIMAL,120.0,120.0,0.0,1.9022430000000001,compas_real,44,ODT
0.59,0.41,0.41,0.6222222222222222,0.23636363636363636,3.583838383838384,2.362076759338379,0,0.0,0.0,0.0,0.0,OPTIMAL,125.0,125.0,0.0,1.8957254000000001,compas_real,44,EMDT
0.59,0.252422479338843,0.09690909090909083,0.6222222222222222,0.23636363636363636,3.583838383838384,2.923576831817627,0,0.0,0.0,0.0,0.0,OPTIMAL,125.0,125.0,0.0,2.4841996,compas_real,44,EMDT-Iso
