Accuracy,Brier,ECE,FPR,FNR,Cost,Time,violations,viol_rate,viol_severity_mean,viol_severity_cond,viol_severity_max,SolverStatus,Objective,BestBound,RelativeGap,SolverWallTime,Dataset,Seed,Method,BudgetSec,Workers,WarmStart,InitBudgetSec,InitStatus,InitGap,InitWallTime
0.69,0.31,0.31,0.8333333333333334,0.08571428571428572,4.338095238095239,15.371343612670898,185,0.0925,0.0925,1.0,1.0,FEASIBLE,104.0,10.0,0.9038461538461539,15.0111159,german_real,42,ODT,15.0,1,0,0.0,NA,,
0.69,0.31,0.31,0.8333333333333334,0.08571428571428572,4.338095238095239,15.524113416671753,0,0.0,0.0,0.0,0.0,FEASIBLE,111.0,7.0,0.9369369369369369,15.0050997,german_real,42,EMDT,15.0,1,0,0.0,NA,,
0.69,0.31,0.31,0.8666666666666667,0.07142857142857142,4.476190476190477,15.404698610305786,540,0.27,0.27,1.0,1.0,FEASIBLE,105.0,56.0,0.4666666666666667,15.056353900000001,german_real,42,ODT,15.0,4,0,0.0,NA,,
0.7,0.3,0.3,0.8,0.08571428571428572,4.171428571428572,15.42449164390564,0,0.0,0.0,0.0,0.0,FEASIBLE,109.0,91.0,0.1651376146788991,15.044536200000001,german_real,42,EMDT,15.0,4,0,0.0,NA,,
0.7,0.3,0.3,0.8,0.08571428571428572,4.171428571428572,16.307480096817017,0,0.0,0.0,0.0,0.0,FEASIBLE,109.0,96.0,0.11926605504587157,15.936113800000001,german_real,42,EMDT,15.0,4,1,3.0,FEASIBLE,0.9292035398230089,3.0044454000000003
0.7,0.3,0.30000000000000004,0.7666666666666667,0.1,4.033333333333333,15.37945294380188,0,0.0,0.0,0.0,0.0,FEASIBLE,107.0,7.0,0.9345794392523364,15.004486700000001,german_real,43,ODT,15.0,1,0,0.0,NA,,
0.7,0.3,0.3,0.8333333333333334,0.07142857142857142,4.30952380952381,15.359821319580078,0,0.0,0.0,0.0,0.0,FEASIBLE,109.0,10.0,0.908256880733945,15.003892800000001,german_real,43,EMDT,15.0,1,0,0.0,NA,,
0.7,0.3,0.3,0.8333333333333334,0.07142857142857142,4.30952380952381,15.457801103591919,2,0.001,0.001,1.0,1.0,FEASIBLE,106.0,56.0,0.4716981132075472,15.046424400000001,german_real,43,ODT,15.0,4,0,0.0,NA,,
0.7,0.3,0.3,0.8333333333333334,0.07142857142857142,4.30952380952381,16.66934323310852,0,0.0,0.0,0.0,0.0,FEASIBLE,111.0,90.0,0.1891891891891892,16.3140199,german_real,43,EMDT,15.0,4,0,0.0,NA,,
0.7,0.3,0.3,0.8333333333333334,0.07142857142857142,4.30952380952381,15.448885202407837,0,0.0,0.0,0.0,0.0,FEASIBLE,109.0,90.0,0.1743119266055046,15.094765400000002,german_real,43,EMDT,15.0,4,1,3.0,FEASIBLE,0.9473684210526315,3.0030807000000004
0.7,0.3,0.3,0.9666666666666667,0.014285714285714285,4.8619047619047615,15.471813440322876,0,0.0,0.0,0.0,0.0,FEASIBLE,109.0,1.0,0.9908256880733946,15.006185,german_real,44,ODT,15.0,1,0,0.0,NA,,
0.69,0.31,0.31000000000000005,0.9666666666666667,0.02857142857142857,4.89047619047619,15.485037803649902,0,0.0,0.0,0.0,0.0,FEASIBLE,111.0,7.0,0.9369369369369369,15.0061306,german_real,44,EMDT,15.0,1,0,0.0,NA,,
0.6,0.4,0.4,0.9333333333333333,0.17142857142857143,5.0095238095238095,15.728027105331421,272,0.136,0.136,1.0,1.0,FEASIBLE,106.0,49.0,0.5377358490566038,15.047348800000002,german_real,44,ODT,15.0,4,0,0.0,NA,,
