N,rep,seed,time,status
100,0,42,5.322398662567139,OPTIMAL
100,1,43,0.7847065925598145,OPTIMAL
100,2,44,2.855213165283203,OPTIMAL
100,3,45,4.980000019073486,OPTIMAL
100,4,46,1.754026174545288,OPTIMAL
200,0,42,9.055666446685791,OPTIMAL
200,1,43,1.7190642356872559,OPTIMAL
200,2,44,6.562714576721191,OPTIMAL
200,3,45,5.907872438430786,OPTIMAL
200,4,46,6.147428035736084,OPTIMAL
300,0,42,15.301362991333008,FEASIBLE
300,1,43,3.224900960922241,OPTIMAL
300,2,44,11.328143835067749,OPTIMAL
300,3,45,15.203592538833618,FEASIBLE
300,4,46,3.839210271835327,OPTIMAL
400,0,42,5.36249041557312,OPTIMAL
400,1,43,13.158385276794434,OPTIMAL
400,2,44,10.474133491516113,OPTIMAL
400,3,45,15.243267297744751,FEASIBLE
400,4,46,14.708983659744263,OPTIMAL
