Dataset,Seed,Method,SliceType,Slice,Accuracy,Cost,WorstSubgroupAccGap,WorstSubgroupCostGap,ShiftSlice,ShiftAccDelta,ShiftCostDelta
compas_real,42,CART,subgroup,age_lt_0.4,0.6086956521739131,3.2128378378378377,,,,,
compas_real,42,CART,subgroup,age_ge_0.4,0.7741935483870968,1.684782608695652,,,,,
compas_real,42,CART,subgroup,priors_good_ge_0.7,0.648936170212766,3.2453703703703702,,,,,
compas_real,42,CART,subgroup,priors_good_lt_0.7,0.8333333333333334,2.0,,,,,
compas_real,42,CART,overall_gap,overall,0.66,2.9555555555555553,0.05130434782608695,0.28981481481481497,shift_high_prior,-0.33999999999999997,-2.9555555555555553
compas_real,42,EMDT-full,subgroup,age_lt_0.4,0.5942028985507246,3.2753378378378377,,,,,
compas_real,42,EMDT-full,subgroup,age_ge_0.4,0.7419354838709677,5.0,,,,,
compas_real,42,EMDT-full,subgroup,priors_good_ge_0.7,0.648936170212766,3.509259259259259,,,,,
compas_real,42,EMDT-full,subgroup,priors_good_lt_0.7,0.5,3.0,,,,,
compas_real,42,EMDT-full,overall_gap,overall,0.64,3.4767676767676767,0.14,1.5232323232323233,shift_high_prior,0.64,1.5232323232323233
compas_real,45,CART,subgroup,age_lt_0.4,0.7083333333333334,2.804953560371517,,,,,
compas_real,45,CART,subgroup,age_ge_0.4,0.5714285714285714,4.443850267379679,,,,,
compas_real,45,CART,subgroup,priors_good_ge_0.7,0.6774193548387096,3.3760765550239236,,,,,
compas_real,45,CART,subgroup,priors_good_lt_0.7,0.5714285714285714,2.142857142857143,,,,,
compas_real,45,CART,overall_gap,overall,0.67,3.2181818181818183,0.09857142857142864,1.2256684491978604,shift_high_prior,0.07000000000000006,-1.2181818181818183
compas_real,45,EMDT-full,subgroup,age_lt_0.4,0.6388888888888888,2.7848297213622293,,,,,
compas_real,45,EMDT-full,subgroup,age_ge_0.4,0.6785714285714286,3.0802139037433154,,,,,
compas_real,45,EMDT-full,subgroup,priors_good_ge_0.7,0.6236559139784946,3.2722488038277513,,,,,
compas_real,45,EMDT-full,subgroup,priors_good_lt_0.7,1.0,0.0,,,,,
compas_real,45,EMDT-full,overall_gap,overall,0.65,2.8424242424242427,0.026344086021505397,0.42982456140350855,shift_high_prior,-0.35,-2.8424242424242427
compas_real,44,CART,subgroup,age_lt_0.4,0.6060606060606061,3.3225806451612905,,,,,
compas_real,44,CART,subgroup,age_ge_0.4,0.6764705882352942,4.25,,,,,
compas_real,44,CART,subgroup,priors_good_ge_0.7,0.6382978723404256,3.644688644688645,,,,,
compas_real,44,CART,subgroup,priors_good_lt_0.7,0.5,2.0,,,,,
compas_real,44,CART,overall_gap,overall,0.63,3.5131313131313133,0.13,0.7368686868686867,shift_high_prior,0.13,-1.5131313131313133
compas_real,44,EMDT-full,subgroup,age_lt_0.4,0.5454545454545454,3.5806451612903225,,,,,
compas_real,44,EMDT-full,subgroup,age_ge_0.4,0.6764705882352942,3.8333333333333335,,,,,
compas_real,44,EMDT-full,subgroup,priors_good_ge_0.7,0.5957446808510638,3.7179487179487176,,,,,
compas_real,44,EMDT-full,subgroup,priors_good_lt_0.7,0.5,2.0,,,,,
compas_real,44,EMDT-full,overall_gap,overall,0.59,3.583838383838384,0.08999999999999997,0.24949494949494966,shift_high_prior,0.08999999999999997,-1.5838383838383838
compas_real,43,CART,subgroup,age_lt_0.4,0.6666666666666666,2.4027649769585255,,,,,
compas_real,43,CART,subgroup,age_ge_0.4,0.5882352941176471,3.9714285714285715,,,,,
compas_real,43,CART,subgroup,priors_good_ge_0.7,0.625,3.3782051282051286,,,,,
compas_real,43,CART,subgroup,priors_good_lt_0.7,0.75,2.0,,,,,
compas_real,43,CART,overall_gap,overall,0.64,2.878787878787879,0.051764705882352935,1.0926406926406926,shift_high_prior,-0.13777777777777778,-0.8787878787878789
compas_real,43,EMDT-full,subgroup,age_lt_0.4,0.6666666666666666,2.506912442396313,,,,,
compas_real,43,EMDT-full,subgroup,age_ge_0.4,0.5882352941176471,3.9714285714285715,,,,,
compas_real,43,EMDT-full,subgroup,priors_good_ge_0.7,0.625,3.4786324786324787,,,,,
compas_real,43,EMDT-full,subgroup,priors_good_lt_0.7,0.75,2.0,,,,,
compas_real,43,EMDT-full,overall_gap,overall,0.64,2.9535353535353535,0.051764705882352935,1.017893217893218,shift_high_prior,-0.13777777777777778,-0.9535353535353535
compas_real,48,CART,subgroup,age_lt_0.4,0.6901408450704225,2.7440381558028615,,,,,
compas_real,48,CART,subgroup,age_ge_0.4,0.6896551724137931,4.565476190476191,,,,,
compas_real,48,CART,subgroup,priors_good_ge_0.7,0.6813186813186813,3.5342601787487586,,,,,
compas_real,48,CART,subgroup,priors_good_lt_0.7,0.7777777777777778,2.0,,,,,
compas_real,48,CART,overall_gap,overall,0.69,3.07070707070707,0.008681318681318606,1.4947691197691206,shift_high_prior,0.08999999999999997,-1.07070707070707
compas_real,48,EMDT-full,subgroup,age_lt_0.4,0.6338028169014085,2.9793322734499204,,,,,
compas_real,48,EMDT-full,subgroup,age_ge_0.4,0.6206896551724138,4.755952380952381,,,,,
compas_real,48,EMDT-full,subgroup,priors_good_ge_0.7,0.6153846153846154,3.7606752730883812,,,,,
compas_real,48,EMDT-full,subgroup,priors_good_lt_0.7,0.7777777777777778,2.0,,,,,
compas_real,48,EMDT-full,overall_gap,overall,0.63,3.2888888888888883,0.014615384615384586,1.467063492063493,shift_high_prior,0.030000000000000027,-1.2888888888888883
compas_real,47,CART,subgroup,age_lt_0.4,0.7432432432432432,2.2938596491228074,,,,,
compas_real,47,CART,subgroup,age_ge_0.4,0.6153846153846154,3.366013071895425,,,,,
compas_real,47,CART,subgroup,priors_good_ge_0.7,0.7065217391304348,2.8282535074987902,,,,,
compas_real,47,CART,subgroup,priors_good_lt_0.7,0.75,2.0,,,,,
compas_real,47,CART,overall_gap,overall,0.71,2.5494949494949495,0.09461538461538455,0.8165181224004754,shift_high_prior,0.10999999999999999,-0.5494949494949495
compas_real,47,EMDT-full,subgroup,age_lt_0.4,0.7027027027027027,2.624269005847953,,,,,
compas_real,47,EMDT-full,subgroup,age_ge_0.4,0.6538461538461539,3.6862745098039214,,,,,
compas_real,47,EMDT-full,subgroup,priors_good_ge_0.7,0.6847826086956522,3.1751330430575715,,,,,
compas_real,47,EMDT-full,subgroup,priors_good_lt_0.7,0.75,2.0,,,,,
compas_real,47,EMDT-full,overall_gap,overall,0.69,2.8464646464646464,0.03615384615384609,0.839809863339275,shift_high_prior,0.08999999999999997,-0.8464646464646464
compas_real,49,CART,subgroup,age_lt_0.4,0.6933333333333334,3.0692640692640696,,,,,
compas_real,49,CART,subgroup,age_ge_0.4,0.6,3.9038461538461537,,,,,
compas_real,49,CART,subgroup,priors_good_ge_0.7,0.6666666666666666,3.6132075471698113,,,,,
compas_real,49,CART,subgroup,priors_good_lt_0.7,0.7142857142857143,2.0,,,,,
compas_real,49,CART,overall_gap,overall,0.67,3.292929292929293,0.07000000000000006,0.6109168609168609,shift_high_prior,0.0033333333333334103,-1.2929292929292928
compas_real,49,EMDT-full,subgroup,age_lt_0.4,0.6933333333333334,2.757575757575758,,,,,
compas_real,49,EMDT-full,subgroup,age_ge_0.4,0.52,5.0,,,,,
compas_real,49,EMDT-full,subgroup,priors_good_ge_0.7,0.6559139784946236,3.4764150943396226,,,,,
compas_real,49,EMDT-full,subgroup,priors_good_lt_0.7,0.5714285714285714,3.0,,,,,
compas_real,49,EMDT-full,overall_gap,overall,0.65,3.3656565656565656,0.13,1.6343434343434344,shift_high_prior,0.3166666666666667,1.6343434343434344
compas_real,46,CART,subgroup,age_lt_0.4,0.6621621621621622,3.0409356725146197,,,,,
compas_real,46,CART,subgroup,age_ge_0.4,0.6538461538461539,4.124183006535947,,,,,
compas_real,46,CART,subgroup,priors_good_ge_0.7,0.6483516483516484,3.741310824230387,,,,,
compas_real,46,CART,subgroup,priors_good_lt_0.7,0.7777777777777778,2.0,,,,,
compas_real,46,CART,overall_gap,overall,0.66,3.2545454545454544,0.011648351648351651,0.8696375519904929,shift_high_prior,0.16000000000000003,-1.2545454545454544
compas_real,46,EMDT-full,subgroup,age_lt_0.4,0.6486486486486487,2.834795321637427,,,,,
compas_real,46,EMDT-full,subgroup,age_ge_0.4,0.6538461538461539,3.6862745098039214,,,,,
compas_real,46,EMDT-full,subgroup,priors_good_ge_0.7,0.6373626373626373,3.4036742800397217,,,,,
compas_real,46,EMDT-full,subgroup,priors_good_lt_0.7,0.7777777777777778,2.0,,,,,
