dataset,noise,seed,method,accuracy,violations,time
Linear,0.1,42,CART,0.55,3,0.0058398246765136
Linear,0.1,42,EMDT,0.575,0,8.920520544052124
Linear,0.1,43,CART,0.55,0,0.022524118423461914
Linear,0.1,43,EMDT,0.55,0,1.766073226928711
Linear,0.1,44,CART,0.7,0,0.0467071533203125
Linear,0.1,44,EMDT,0.625,0,7.447075605392456
Linear,0.1,45,CART,0.625,3,0.027307987213134766
Linear,0.1,45,EMDT,0.55,0,6.6225244998931885
Linear,0.1,46,CART,0.525,0,0.010222911834716797
Linear,0.1,46,EMDT,0.55,0,6.771429538726807
Linear,0.1,47,CART,0.6,0,0.010386228561401367
Linear,0.1,47,EMDT,0.6,0,7.396974563598633
Linear,0.1,48,CART,0.75,0,0.009737491607666016
