Dataset,Noise,Seed,CART_acc,CART_time,EMDT_acc,EMDT_time,EMDT_status
Linear,0.1,42,0.55,0.0009953975677490234,0.575,14.58065128326416,OPTIMAL
Linear,0.1,43,0.55,0.0007121562957763672,0.55,1.9725024700164795,OPTIMAL
Linear,0.1,44,0.7,0.0010116100311279297,0.625,9.605419158935547,OPTIMAL
Linear,0.1,45,0.625,0.0006823539733886719,0.55,8.29695439338684,OPTIMAL
Linear,0.1,46,0.525,0.001085042953491211,0.55,9.641209125518799,OPTIMAL
Linear,0.1,47,0.6,0.0008180141448974609,0.6,9.80348014831543,OPTIMAL
Linear,0.1,48,0.75,0.0009677410125732422,0.8,4.587569713592529,OPTIMAL
Linear,0.1,49,0.65,0.000986337661743164,0.65,8.375485181808472,OPTIMAL
Linear,0.1,50,0.55,0.0010373592376708984,0.575,15.206936120986938,FEASIBLE
Linear,0.1,51,0.65,0.0009145736694335938,0.625,11.685716152191162,OPTIMAL
Linear,0.1,52,0.7,0.0008959770202636719,0.675,6.083914279937744,OPTIMAL
Linear,0.1,53,0.575,0.0006799697875976562,0.725,15.177802085876465,OPTIMAL
Linear,0.1,54,0.575,0.0006916522979736328,0.65,15.207667589187622,FEASIBLE
Linear,0.1,55,0.625,0.0006804466247558594,0.525,15.188575744628906,FEASIBLE
Linear,0.1,56,0.65,0.0007865428924560547,0.725,15.214103698730469,FEASIBLE
Linear,0.1,57,0.65,0.0008144378662109375,0.675,11.481811761856079,OPTIMAL
Linear,0.1,58,0.675,0.0007119178771972656,0.625,4.712363004684448,OPTIMAL
Linear,0.1,59,0.525,0.0008864402770996094,0.525,12.722590684890747,OPTIMAL
Linear,0.1,60,0.6,0.001050710678100586,0.6,15.177179098129272,FEASIBLE
Linear,0.1,61,0.75,0.0006825923919677734,0.7,3.325047492980957,OPTIMAL
Linear,0.1,62,0.625,0.0007188320159912109,0.75,15.192430973052979,FEASIBLE
Linear,0.1,63,0.65,0.0007030963897705078,0.675,8.677197456359863,OPTIMAL
Linear,0.1,64,0.65,0.0008709430694580078,0.775,12.785824537277222,OPTIMAL
Linear,0.1,65,0.575,0.0007710456848144531,0.55,15.18722128868103,FEASIBLE
Linear,0.1,66,0.625,0.0012030601501464844,0.725,8.375121831893921,OPTIMAL
Linear,0.1,67,0.675,0.0007424354553222656,0.7,14.060248136520386,OPTIMAL
Linear,0.1,68,0.525,0.0007669925689697266,0.6,13.846807956695557,OPTIMAL
Linear,0.1,69,0.675,0.0011744499206542969,0.65,15.194580078125,FEASIBLE
Linear,0.1,70,0.625,0.0009129047393798828,0.65,15.167739629745483,FEASIBLE
Linear,0.1,71,0.6,0.0015981197357177734,0.8,6.148854732513428,OPTIMAL
Linear,0.25,42,0.525,0.0017516613006591797,0.6,15.306170463562012,FEASIBLE
Linear,0.25,43,0.525,0.000972747802734375,0.55,13.426044464111328,OPTIMAL
Linear,0.25,44,0.525,0.0023908615112304688,0.575,15.256023168563843,FEASIBLE
Linear,0.25,45,0.5,0.0010528564453125,0.55,15.293582201004028,FEASIBLE
Linear,0.25,46,0.525,0.0025064945220947266,0.55,15.323838472366333,FEASIBLE
Linear,0.25,47,0.525,0.0010495185852050781,0.55,15.364413022994995,FEASIBLE
Linear,0.25,48,0.675,0.0009920597076416016,0.6,15.301969528198242,FEASIBLE
Linear,0.25,49,0.625,0.0018763542175292969,0.625,15.327630758285522,FEASIBLE
Linear,0.25,50,0.475,0.001359701156616211,0.475,15.376250982284546,FEASIBLE
Linear,0.25,51,0.525,0.001943826675415039,0.525,15.266302585601807,FEASIBLE
Linear,0.25,52,0.45,0.0007474422454833984,0.475,15.333973407745361,FEASIBLE
Linear,0.25,53,0.6,0.0014455318450927734,0.675,15.331099510192871,FEASIBLE
Linear,0.25,54,0.575,0.0009710788726806641,0.575,15.296011686325073,FEASIBLE
Linear,0.25,55,0.575,0.0007946491241455078,0.55,15.279108047485352,FEASIBLE
Linear,0.25,56,0.65,0.0013606548309326172,0.625,15.286836385726929,FEASIBLE
Linear,0.25,57,0.45,0.0019197463989257812,0.45,12.124625444412231,OPTIMAL
Linear,0.25,58,0.5,0.0008072853088378906,0.6,15.287237167358398,FEASIBLE
Linear,0.25,59,0.725,0.0009367465972900391,0.65,15.286635875701904,FEASIBLE
Linear,0.25,60,0.475,0.0007264614105224609,0.55,15.260652542114258,FEASIBLE
Linear,0.25,61,0.55,0.0025348663330078125,0.625,15.323775291442871,FEASIBLE
Linear,0.25,62,0.65,0.002416849136352539,0.575,15.304624319076538,FEASIBLE
Linear,0.25,63,0.725,0.0013842582702636719,0.725,15.377017259597778,FEASIBLE
Linear,0.25,64,0.625,0.0016374588012695312,0.625,15.326947450637817,FEASIBLE
Linear,0.25,65,0.5,0.0009827613830566406,0.55,15.305486917495728,FEASIBLE
Linear,0.25,66,0.625,0.0007560253143310547,0.625,15.314003944396973,FEASIBLE
Linear,0.25,67,0.575,0.0016345977783203125,0.65,14.060431957244873,OPTIMAL
Linear,0.25,68,0.7,0.0013010501861572266,0.6,15.352590322494507,FEASIBLE
Linear,0.25,69,0.675,0.0007791519165039062,0.675,14.522791147232056,OPTIMAL
Linear,0.25,70,0.7,0.0009541511535644531,0.725,15.301607608795166,FEASIBLE
Linear,0.25,71,0.5,0.00113677978515625,0.625,13.306309461593628,OPTIMAL
XOR,0.1,42,0.425,0.0014226436614990234,0.675,15.271880865097046,FEASIBLE
XOR,0.1,43,0.55,0.0018568038940429688,0.625,15.357876777648926,FEASIBLE
XOR,0.1,44,0.85,0.0009238719940185547,0.6,7.829216480255127,OPTIMAL
XOR,0.1,45,0.725,0.0014865398406982422,0.65,15.32959508895874,FEASIBLE
XOR,0.1,46,0.8,0.0007452964782714844,0.55,15.329035997390747,FEASIBLE
XOR,0.1,47,0.9,0.0009322166442871094,0.65,15.307465076446533,FEASIBLE
XOR,0.1,48,0.425,0.0007371902465820312,0.55,15.257227897644043,FEASIBLE
XOR,0.1,49,0.875,0.001672983169555664,0.625,15.315318822860718,FEASIBLE
XOR,0.1,50,0.525,0.0008575916290283203,0.6,15.257512331008911,FEASIBLE
XOR,0.1,51,0.55,0.0008790493011474609,0.625,15.285151720046997,FEASIBLE
XOR,0.1,52,0.65,0.0030045509338378906,0.75,15.289912223815918,FEASIBLE
XOR,0.1,53,0.6,0.001432657241821289,0.6,15.284451007843018,FEASIBLE
XOR,0.1,54,0.825,0.0012660026550292969,0.625,15.32296347618103,FEASIBLE
XOR,0.1,55,0.6,0.001848459243774414,0.625,15.302965641021729,FEASIBLE
XOR,0.1,56,0.625,0.0006997585296630859,0.7,15.270708322525024,FEASIBLE
XOR,0.1,57,0.8,0.001680135726928711,0.625,15.310478210449219,FEASIBLE
XOR,0.1,58,0.7,0.0010571479797363281,0.775,15.311036109924316,FEASIBLE
XOR,0.1,59,0.575,0.0014302730560302734,0.75,15.328665256500244,FEASIBLE
XOR,0.1,60,0.475,0.002256631851196289,0.7,15.287297487258911,FEASIBLE
XOR,0.1,61,0.475,0.0010411739349365234,0.525,15.306440353393555,FEASIBLE
XOR,0.1,62,0.575,0.0008802413940429688,0.575,15.340933084487915,FEASIBLE
XOR,0.1,63,0.7,0.0023202896118164062,0.7,15.2479727268219,FEASIBLE
XOR,0.1,64,0.475,0.0011298656463623047,0.525,15.309123277664185,FEASIBLE
XOR,0.1,65,0.55,0.0009255409240722656,0.65,15.333016633987427,FEASIBLE
XOR,0.1,66,0.8,0.0010440349578857422,0.725,15.350999116897583,FEASIBLE
XOR,0.1,67,0.45,0.0007169246673583984,0.675,15.25019097328186,FEASIBLE
