Dataset,Noise,Seed,CART_acc,CART_viol,CART_time,EMDT_acc,EMDT_viol,EMDT_time,EMDT_status
Linear,0.1,42,0.55,7,0.0008637905120849609,0.575,0,10.377172470092773,OPTIMAL
Linear,0.1,43,0.55,0,0.0005214214324951172,0.55,0,2.165440559387207,OPTIMAL
Linear,0.1,44,0.7,0,0.0007951259613037109,0.625,0,7.395754098892212,OPTIMAL
Linear,0.1,45,0.625,3,0.00048160552978515625,0.55,0,5.159940719604492,OPTIMAL
Linear,0.1,46,0.525,2,0.0005097389221191406,0.55,0,5.073698043823242,OPTIMAL
Linear,0.1,47,0.6,0,0.000507354736328125,0.6,0,5.546933650970459,OPTIMAL
Linear,0.1,48,0.75,0,0.0008175373077392578,0.8,0,2.892839193344116,OPTIMAL
Linear,0.1,49,0.65,0,0.0005321502685546875,0.65,0,4.708302021026611,OPTIMAL
Linear,0.1,50,0.55,12,0.0005168914794921875,0.575,0,8.736085176467896,OPTIMAL
Linear,0.1,51,0.65,7,0.0004813671112060547,0.625,0,5.392822265625,OPTIMAL
Linear,0.1,52,0.7,9,0.000499725341796875,0.675,0,4.510874032974243,OPTIMAL
Linear,0.1,53,0.575,1,0.0007038116455078125,0.725,0,10.317642211914062,OPTIMAL
Linear,0.1,54,0.575,0,0.0006566047668457031,0.525,0,15.157036066055298,FEASIBLE
Linear,0.1,55,0.625,0,0.0007493495941162109,0.6,0,11.469938278198242,OPTIMAL
Linear,0.1,56,0.65,0,0.000499725341796875,0.65,0,12.981370449066162,OPTIMAL
Linear,0.1,57,0.65,0,0.0004780292510986328,0.675,0,4.952917575836182,OPTIMAL
Linear,0.1,58,0.675,0,0.0004787445068359375,0.625,0,2.982503652572632,OPTIMAL
Linear,0.1,59,0.525,0,0.0004725456237792969,0.525,0,6.233668565750122,OPTIMAL
Linear,0.1,60,0.6,0,0.0004985332489013672,0.6,0,12.584398031234741,OPTIMAL
Linear,0.1,61,0.75,0,0.0007138252258300781,0.7,0,3.139225721359253,OPTIMAL
Linear,0.1,62,0.625,2,0.0005686283111572266,0.75,0,12.223159313201904,OPTIMAL
Linear,0.1,63,0.65,0,0.0005712509155273438,0.675,0,6.290462255477905,OPTIMAL
Linear,0.1,64,0.65,0,0.00046825408935546875,0.775,0,9.682490587234497,OPTIMAL
Linear,0.1,65,0.575,0,0.0006821155548095703,0.55,0,15.166380167007446,FEASIBLE
Linear,0.1,66,0.625,9,0.00046634674072265625,0.725,0,5.980694532394409,OPTIMAL
Linear,0.1,67,0.675,26,0.0006787776947021484,0.7,0,8.571301221847534,OPTIMAL
Linear,0.1,68,0.525,0,0.0004961490631103516,0.6,0,5.510179042816162,OPTIMAL
Linear,0.1,69,0.675,0,0.0004825592041015625,0.65,0,15.001012086868286,OPTIMAL
Linear,0.1,70,0.625,0,0.0006794929504394531,0.65,0,9.948398113250732,OPTIMAL
Linear,0.1,71,0.6,5,0.0011525154113769531,0.8,0,3.256399631500244,OPTIMAL
Linear,0.25,42,0.525,5,0.0007059574127197266,0.6,0,15.147355556488037,FEASIBLE
Linear,0.25,43,0.525,0,0.0007193088531494141,0.55,0,6.969089508056641,OPTIMAL
Linear,0.25,44,0.525,3,0.0006811618804931641,0.575,0,15.345721006393433,FEASIBLE
Linear,0.25,45,0.5,76,0.0005731582641601562,0.55,0,15.160363912582397,FEASIBLE
Linear,0.25,46,0.525,0,0.0005505084991455078,0.55,0,15.149517059326172,FEASIBLE
Linear,0.25,47,0.525,0,0.0012612342834472656,0.55,0,14.958379030227661,OPTIMAL
Linear,0.25,48,0.675,7,0.0005843639373779297,0.65,0,15.348940372467041,FEASIBLE
Linear,0.25,49,0.625,0,0.0028083324432373047,0.625,0,10.778320550918579,OPTIMAL
Linear,0.25,50,0.475,9,0.0011188983917236328,0.475,0,15.207247495651245,FEASIBLE
Linear,0.25,51,0.525,0,0.00048804283142089844,0.525,0,13.718325138092041,OPTIMAL
Linear,0.25,52,0.45,23,0.0004913806915283203,0.475,0,8.66512131690979,OPTIMAL
Linear,0.25,53,0.6,62,0.0006818771362304688,0.675,0,15.188304901123047,FEASIBLE
Linear,0.25,54,0.575,0,0.00112152099609375,0.575,0,15.178997039794922,FEASIBLE
Linear,0.25,55,0.575,0,0.0006937980651855469,0.55,0,15.39250373840332,FEASIBLE
Linear,0.25,56,0.65,0,0.00047016143798828125,0.625,0,10.970004320144653,OPTIMAL
Linear,0.25,57,0.45,27,0.00047206878662109375,0.45,0,6.72002387046814,OPTIMAL
Linear,0.25,58,0.5,4,0.0004677772521972656,0.6,0,15.099966049194336,FEASIBLE
Linear,0.25,59,0.725,3,0.0006480216979980469,0.65,0,15.23761510848999,FEASIBLE
Linear,0.25,60,0.475,0,0.0006923675537109375,0.55,0,15.145378589630127,FEASIBLE
Linear,0.25,61,0.55,30,0.0006425380706787109,0.625,0,15.301363945007324,FEASIBLE
Linear,0.25,62,0.65,0,0.0006732940673828125,0.65,0,15.137452363967896,FEASIBLE
Linear,0.25,63,0.725,5,0.0007162094116210938,0.775,0,9.701276063919067,OPTIMAL
Linear,0.25,64,0.625,0,0.0029938220977783203,0.625,0,15.143577098846436,FEASIBLE
Linear,0.25,65,0.5,1,0.0006811618804931641,0.55,0,15.190894365310669,FEASIBLE
Linear,0.25,66,0.625,9,0.0007557868957519531,0.625,0,15.16465425491333,FEASIBLE
Linear,0.25,67,0.575,15,0.0004911422729492188,0.65,0,6.773187160491943,OPTIMAL
Linear,0.25,68,0.7,24,0.0004925727844238281,0.6,0,15.181487560272217,FEASIBLE
Linear,0.25,69,0.675,16,0.000583648681640625,0.675,0,7.456066846847534,OPTIMAL
Linear,0.25,70,0.7,6,0.0006914138793945312,0.725,0,15.15562105178833,FEASIBLE
Linear,0.25,71,0.5,32,0.004691123962402344,0.625,0,6.4079320430755615,OPTIMAL
Polynomial,0.1,42,0.725,17,0.000568389892578125,0.675,0,5.509830474853516,OPTIMAL
Polynomial,0.1,43,0.625,10,0.0006911754608154297,0.55,0,11.144665479660034,OPTIMAL
Polynomial,0.1,44,0.575,0,0.0005786418914794922,0.6,0,15.192761898040771,FEASIBLE
Polynomial,0.1,45,0.625,0,0.0004754066467285156,0.575,0,6.281061410903931,OPTIMAL
Polynomial,0.1,46,0.5,0,0.0007240772247314453,0.575,0,14.184441804885864,OPTIMAL
Polynomial,0.1,47,0.7,5,0.0006744861602783203,0.7,0,6.4921042919158936,OPTIMAL
Polynomial,0.1,48,0.65,9,0.0004813671112060547,0.625,0,9.455514907836914,OPTIMAL
Polynomial,0.1,49,0.575,0,0.0017075538635253906,0.575,0,15.235651731491089,FEASIBLE
Polynomial,0.1,50,0.6,0,0.0006742477416992188,0.475,0,15.18579888343811,FEASIBLE
Polynomial,0.1,51,0.525,40,0.0036182403564453125,0.575,0,15.165937185287476,FEASIBLE
Polynomial,0.1,52,0.55,4,0.00047516822814941406,0.65,0,6.069121599197388,OPTIMAL
Polynomial,0.1,53,0.65,0,0.0006973743438720703,0.6,0,15.152742624282837,FEASIBLE
Polynomial,0.1,54,0.7,0,0.0007939338684082031,0.7,0,15.225228071212769,FEASIBLE
Polynomial,0.1,55,0.575,10,0.0006730556488037109,0.575,0,8.986764192581177,OPTIMAL
Polynomial,0.1,56,0.65,0,0.0004734992980957031,0.65,0,2.6787264347076416,OPTIMAL
Polynomial,0.1,57,0.65,14,0.0007152557373046875,0.7,0,6.375727891921997,OPTIMAL
Polynomial,0.1,58,0.675,8,0.0006866455078125,0.675,0,7.233306169509888,OPTIMAL
Polynomial,0.1,59,0.475,11,0.0004773139953613281,0.525,0,15.257706880569458,FEASIBLE
Polynomial,0.1,60,0.475,19,0.0006844997406005859,0.625,0,15.308067798614502,FEASIBLE
Polynomial,0.1,61,0.675,0,0.0006787776947021484,0.65,0,3.626166582107544,OPTIMAL
Polynomial,0.1,62,0.65,5,0.00047516822814941406,0.775,0,7.52458119392395,OPTIMAL
Polynomial,0.1,63,0.75,0,0.0004734992980957031,0.675,0,2.345430612564087,OPTIMAL
Polynomial,0.1,64,0.8,0,0.0004646778106689453,0.825,0,6.193019151687622,OPTIMAL
Polynomial,0.1,65,0.6,18,0.0004699230194091797,0.6,0,15.113636255264282,FEASIBLE
Polynomial,0.1,66,0.55,2,0.00177764892578125,0.575,0,12.851434230804443,OPTIMAL
Polynomial,0.1,67,0.625,0,0.0005817413330078125,0.625,0,9.805793523788452,OPTIMAL
Polynomial,0.1,68,0.55,11,0.00047016143798828125,0.625,0,15.192732334136963,FEASIBLE
Polynomial,0.1,69,0.475,0,0.0010137557983398438,0.6,0,6.728869438171387,OPTIMAL
Polynomial,0.1,70,0.475,75,0.0004687309265136719,0.7,0,9.125893592834473,OPTIMAL
Polynomial,0.1,71,0.55,0,0.0006546974182128906,0.775,0,8.422326564788818,OPTIMAL
Polynomial,0.25,42,0.55,29,0.0006775856018066406,0.6,0,15.23882532119751,FEASIBLE
Polynomial,0.25,43,0.65,0,0.0010514259338378906,0.525,0,14.229533433914185,OPTIMAL
Polynomial,0.25,44,0.625,32,0.00047016143798828125,0.55,0,15.1869056224823,FEASIBLE
Polynomial,0.25,45,0.55,0,0.0013041496276855469,0.65,0,15.241257905960083,FEASIBLE
Polynomial,0.25,46,0.45,6,0.0004620552062988281,0.55,0,15.181949377059937,FEASIBLE
Polynomial,0.25,47,0.675,13,0.0005857944488525391,0.6,0,14.869206428527832,OPTIMAL
Polynomial,0.25,48,0.525,9,0.0006794929504394531,0.55,0,15.258210897445679,FEASIBLE
Polynomial,0.25,49,0.575,2,0.003854513168334961,0.675,0,15.324194431304932,FEASIBLE
Polynomial,0.25,50,0.55,5,0.0006887912750244141,0.65,0,15.162848711013794,FEASIBLE
Polynomial,0.25,51,0.575,25,0.0006880760192871094,0.55,0,15.169693231582642,FEASIBLE
Polynomial,0.25,52,0.525,0,0.0010221004486083984,0.525,0,15.256037950515747,FEASIBLE
Polynomial,0.25,53,0.425,65,0.0005829334259033203,0.55,0,14.909497022628784,OPTIMAL
Polynomial,0.25,54,0.625,6,0.0005786418914794922,0.6,0,15.265115737915039,FEASIBLE
Polynomial,0.25,55,0.525,37,0.0005807876586914062,0.625,0,15.235862016677856,FEASIBLE
Polynomial,0.25,56,0.625,0,0.0018804073333740234,0.6,0,13.795491695404053,OPTIMAL
Polynomial,0.25,57,0.475,0,0.0007004737854003906,0.475,0,6.027071714401245,OPTIMAL
Polynomial,0.25,58,0.55,49,0.0012712478637695312,0.725,0,15.129436492919922,FEASIBLE
Polynomial,0.25,59,0.55,15,0.0006949901580810547,0.55,0,15.151374101638794,FEASIBLE
Polynomial,0.25,60,0.525,23,0.0024127960205078125,0.525,0,15.188234090805054,FEASIBLE
Polynomial,0.25,61,0.525,13,0.0010154247283935547,0.6,0,13.24183702468872,OPTIMAL
